Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Age,Gender
0.07,0.31,0.11,0.81,0.36,10,1
0.93,0.91,0.62,0.5,0.3,10,0
0.5,0.68,0.93,0.14,0.95,10,1
0.7,0.35,0.44,0.84,0.11,10,0
0.41,0.84,1,0.26,0.87,10,1
0.8,0.5,0.88,0.23,0.06,10,0
0.25,0.48,0.51,0.31,0.33,10,1
0.43,0.23,0.19,0.37,0.71,10,0
0.75,0.5,0.56,0.72,0.3,10,1
0.38,0.78,0.09,0.73,0.04,10,0
0.15,0.8,0.33,0.02,0.89,20,1
0.09,0.54,0.19,0.38,0.34,20,0
0.84,0.82,0.54,0.94,0.54,20,1
0.32,0.13,0.38,0.25,0.78,20,0
0.18,0.93,0.79,0.18,0.75,20,1
0.06,0.79,0.34,0.12,0.4,20,0
0.77,0.91,0.95,0.06,0.84,20,1
0.42,0.89,0.82,0.94,0.71,20,0
0.44,0.53,0.13,0.37,0.79,20,1
0.75,0.96,0.26,0.94,0.78,20,0
0.4,0.4,0.93,0.7,0.31,30,1
0.47,0.94,0.73,0.22,0.23,30,0
0.81,0.25,0.59,0.95,0.39,30,1
0.52,0.11,0.41,0.28,0.64,30,0
0.37,0.61,0.52,0.08,0.32,30,1
0.66,0.43,0.23,0.77,0.54,30,0
0.73,0.24,0.07,0.81,0.02,30,1
0.83,0.69,0.82,0.4,0.11,30,0
0.7,0.75,0.29,0.5,0.92,30,1
0.66,0.56,0.11,0.68,0.35,30,0
0.02,0.02,0.92,0.76,0.09,40,1
0.18,0.54,0.56,0.51,0.13,40,0
0.31,0.26,0.29,0.73,0.49,40,1
0.77,0.1,0,0.98,0,40,0
0.69,0.43,0.89,0.62,0.24,40,1
0.14,0.94,0.63,0.05,0.61,40,0
0.28,0.93,0.63,0.86,0.31,40,1
0.87,0.82,0.66,0.37,0.25,40,0
0.28,0.44,0.21,0.19,0.1,40,1
0.01,0.88,0.96,0.23,0.81,40,0
0.07,0.24,0.51,0.44,0.74,50,1
0.11,0.77,0.59,0.6,0.12,50,0
0.55,0.5,0.91,0.46,0.36,50,1
0.2,0.39,0.24,0.92,0.88,50,0
0.51,0.55,0.1,0.19,0.93,50,1
0.16,0.6,0.26,0.49,0.91,50,0
0.66,0.73,0.59,0.58,0.99,50,1
0.01,0.07,0.93,0.49,0.56,50,0
0.01,0.63,0.86,0.72,0.53,50,1
