Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Age,Gender,description
0.07,0.31,0.11,0.81,0.36,10,1,10대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.93,0.91,0.62,0.5,0.3,10,0,10대예요 남성이에요 창의적이고 새로운 것을 좋아해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.5,0.68,0.93,0.14,0.95,10,1,10대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.7,0.35,0.44,0.84,0.11,10,0,10대예요 남성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.41,0.84,1.0,0.26,0.87,10,1,10대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.8,0.5,0.88,0.23,0.06,10,0,10대예요 남성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.25,0.48,0.51,0.31,0.33,10,1,10대예요 여성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 비판적으로 생각하고 자기 주장이 강해요 감정이 안정적이고 침착한 편이에요
0.43,0.23,0.19,0.37,0.71,10,0,10대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 즉흥적이고 자유로운 성향이에요 조용하고 혼자 있는 걸 좋아해요 비판적으로 생각하고 자기 주장이 강해요 감정 기복이 심하고 예민한 편이에요
0.75,0.5,0.56,0.72,0.3,10,1,10대예요 여성이에요 창의적이고 새로운 것을 좋아해요 즉흥적이고 자유로운 성향이에요 사교적이고 활발한 성격이에요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
0.38,0.78,0.09,0.73,0.04,10,0,10대예요 남성이에요 새로운 것보다는 익숙한 걸 선호해요 계획적이고 신중한 성격이에요 조용하고 혼자 있는 걸 좋아해요 공감하고 협력하는 걸 중요하게 여겨요 감정이 안정적이고 침착한 편이에요
